,Unnamed: 0,timestamp,longitude,latitude,phone_brand_en,gender,age_segment,location,neigbourhood_numbers
484,484,2018-08-10 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
485,485,2018-05-19 00:00:00,-79.55324,43.6423,Lasioglossum,F,140-160,Islington-City Centre West,14
486,486,2018-07-20 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
487,487,2018-08-31 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
488,488,2018-05-12 00:00:00,-79.30445999999999,43.69999,Lasioglossum,F,120-140,O'Connor-Parkview,54
489,489,2018-08-10 00:00:00,-79.46369,43.64654,Lasioglossum,M,80-100,High Park-Swansea,87
490,490,2018-08-10 00:00:00,-79.46369,43.64654,Lasioglossum,M,80-100,High Park-Swansea,87
491,491,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
492,492,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
493,493,2018-06-29 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
494,494,2018-08-10 00:00:00,-79.46369,43.64654,Lasioglossum,M,80-100,High Park-Swansea,87
495,495,2018-06-01 00:00:00,-79.30445999999999,43.69999,Lasioglossum,F,120-140,O'Connor-Parkview,54
496,496,2018-08-10 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
497,497,2018-08-10 00:00:00,-79.29879,43.6701,Lasioglossum,F,60-80,The Beaches,63
498,498,2018-06-29 00:00:00,-79.48689,43.65057,Lasioglossum,F,100-120,Lambton Baby Point,114
499,499,2018-06-04 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
500,500,2018-05-12 00:00:00,-79.32925999999999,43.67239,Lasioglossum,F,80-100,South Riverdale,70
501,501,2018-06-01 00:00:00,-79.30445999999999,43.69999,Lasioglossum,F,120-140,O'Connor-Parkview,54
502,502,2018-05-27 00:00:00,-79.55324,43.6423,Lasioglossum,F,140-160,Islington-City Centre West,14
503,503,2018-05-27 00:00:00,-79.4335,43.66791,Lasioglossum,F,120-140,Dovercourt-Wallace Emerson-Junction,93
504,504,2018-05-31 00:00:00,-79.55324,43.6423,Lasioglossum,F,140-160,Islington-City Centre West,14
505,505,2018-05-31 00:00:00,-79.55324,43.6423,Lasioglossum,F,140-160,Islington-City Centre West,14
506,506,2018-06-04 00:00:00,-79.39437,43.695890000000006,Lasioglossum,F,140-160,Mount Pleasant East,99
507,507,2018-05-23 00:00:00,-79.4335,43.66791,Lasioglossum,F,120-140,Dovercourt-Wallace Emerson-Junction,93
508,508,2018-05-15 00:00:00,-79.3524,43.65412,Lasioglossum,F,60-80,Waterfront Communities-The Island,77
509,509,2018-05-31 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
510,510,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
511,511,2018-05-27 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
512,512,2018-05-27 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
513,513,2018-06-04 00:00:00,-79.55324,43.6423,Lasioglossum,F,140-160,Islington-City Centre West,14
514,514,2018-05-27 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
515,515,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
516,516,2018-05-31 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
517,517,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
518,518,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
519,519,2018-06-04 00:00:00,-79.54159,43.65052,Lasioglossum,F,120-140,Islington-City Centre West,14
520,520,2018-06-08 00:00:00,-79.54159,43.65052,Lasioglossum,F,120-140,Islington-City Centre West,14
521,521,2018-05-27 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
522,522,2018-05-24 00:00:00,-79.29879,43.6701,Lasioglossum,F,60-80,The Beaches,63
523,523,2018-06-08 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
524,524,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
525,525,2018-05-31 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
526,526,2018-05-31 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
527,527,2018-06-04 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
528,528,2018-05-12 00:00:00,-79.35249,43.732659999999996,Lasioglossum,F,140-160,Banbury-Don Mills,42
529,529,2018-06-29 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
530,530,2018-05-20 00:00:00,-79.29879,43.6701,Lasioglossum,F,60-80,The Beaches,63
531,531,2018-05-23 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
532,532,2018-07-20 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
533,533,2018-08-10 00:00:00,-79.39437,43.695890000000006,Lasioglossum,F,140-160,Mount Pleasant East,99
534,534,2018-06-29 00:00:00,-79.378151,43.659168,Lasioglossum,F,80-100,Church-Yonge Corridor,75
535,535,2018-06-29 00:00:00,-79.29879,43.6701,Lasioglossum,F,60-80,The Beaches,63
536,536,2018-08-10 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
537,537,2018-06-04 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
538,538,2018-05-20 00:00:00,-79.30445999999999,43.69999,Lasioglossum,F,120-140,O'Connor-Parkview,54
539,539,2018-07-20 00:00:00,-79.46369,43.64654,Lasioglossum,M,80-100,High Park-Swansea,87
540,540,2018-06-08 00:00:00,-79.30445999999999,43.69999,Lasioglossum,F,120-140,O'Connor-Parkview,54
541,541,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
542,542,2018-06-04 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
543,543,2018-05-31 00:00:00,-79.4335,43.66791,Lasioglossum,F,120-140,Dovercourt-Wallace Emerson-Junction,93
544,544,2018-05-19 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
545,545,2018-05-23 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
546,546,2018-07-20 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
547,547,2018-06-29 00:00:00,-79.41351999999999,43.71835,Lasioglossum,F,160+,Lawrence Park South,103
548,548,2018-05-20 00:00:00,-79.35249,43.732659999999996,Lasioglossum,F,140-160,Banbury-Don Mills,42
549,549,2018-06-08 00:00:00,-79.54159,43.65052,Lasioglossum,F,120-140,Islington-City Centre West,14
550,550,2018-05-27 00:00:00,-79.54159,43.65052,Lasioglossum,F,120-140,Islington-City Centre West,14
551,551,2018-05-24 00:00:00,-79.281763,43.68738,Lasioglossum,F,120-140,Birchcliffe-Cliffside,122
552,552,2018-06-29 00:00:00,-79.55324,43.6423,Lasioglossum,F,140-160,Islington-City Centre West,14
553,553,2018-05-24 00:00:00,-79.281763,43.68738,Lasioglossum,F,120-140,Birchcliffe-Cliffside,122
554,554,2018-05-31 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
555,555,2018-05-31 00:00:00,-79.4632,43.7291,Lasioglossum,F,160+,Downsview-Roding-CFB,26
556,556,2018-06-04 00:00:00,-79.41866,43.66111,Lasioglossum,F,100-120,Palmerston-Little Italy,80
557,557,2018-05-16 00:00:00,-79.281763,43.68738,Halictus,F,120-140,Birchcliffe-Cliffside,122
558,558,2018-08-31 00:00:00,-79.281763,43.68738,Lasioglossum,F,120-140,Birchcliffe-Cliffside,122
559,559,2018-06-04 00:00:00,-79.4632,43.7291,Lasioglossum,F,160+,Downsview-Roding-CFB,26
560,560,2018-05-11 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
561,561,2018-05-11 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
562,562,2018-05-19 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
563,563,2018-05-19 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
564,564,2018-05-24 00:00:00,-79.31995,43.68951,Lasioglossum,F,120-140,Danforth East York,59
565,565,2018-05-20 00:00:00,-79.31995,43.68951,Lasioglossum,F,120-140,Danforth East York,59
566,566,2018-06-08 00:00:00,-79.48539,43.65797,Lasioglossum,F,100-120,Runnymede-Bloor West Village,89
567,567,2018-06-04 00:00:00,-79.4335,43.66791,Lasioglossum,F,120-140,Dovercourt-Wallace Emerson-Junction,93
568,568,2018-06-04 00:00:00,-79.4632,43.7291,Lasioglossum,F,160+,Downsview-Roding-CFB,26
569,569,2018-05-11 00:00:00,-79.4632,43.7291,Lasioglossum,F,160+,Downsview-Roding-CFB,26
570,570,2018-05-24 00:00:00,-79.31995,43.68951,Lasioglossum,F,120-140,Danforth East York,59
571,571,2018-06-29 00:00:00,-79.31995,43.68951,Lasioglossum,F,120-140,Danforth East York,59
572,572,2018-06-08 00:00:00,-79.4632,43.7291,Lasioglossum,F,160+,Downsview-Roding-CFB,26
573,573,2018-05-20 00:00:00,-79.31995,43.68951,Lasioglossum,F,120-140,Danforth East York,59
574,574,2018-06-08 00:00:00,-79.31995,43.68951,Lasioglossum,F,120-140,Danforth East York,59
575,575,2018-07-20 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
576,576,2018-08-10 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
577,577,2018-07-20 00:00:00,-79.39437,43.695890000000006,Lasioglossum,F,140-160,Mount Pleasant East,99
578,578,2018-08-10 00:00:00,-79.29879,43.6701,Lasioglossum,F,60-80,The Beaches,63
579,579,2018-07-20 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
580,580,2018-05-27 00:00:00,-79.48689,43.65057,Lasioglossum,F,100-120,Lambton Baby Point,114
581,581,2018-06-29 00:00:00,-79.46369,43.64654,Lasioglossum,F,80-100,High Park-Swansea,87
582,582,2018-05-16 00:00:00,-79.281763,43.68738,Lasioglossum,F,120-140,Birchcliffe-Cliffside,122
583,583,2018-05-19 00:00:00,-79.50723,43.63919,Lasioglossum,F,100-120,Stonegate-Queensway,16
584,584,2018-05-27 00:00:00,-79.54741999999999,43.59366,Lasioglossum,F,80-100,Alderwood,20
585,585,2018-08-10 00:00:00,-79.41351999999999,43.71835,Augochlora,F,160+,Lawrence Park South,103
586,586,2018-06-04 00:00:00,-79.54741999999999,43.59366,Sphecodes,F,80-100,Alderwood,20
587,587,2018-05-27 00:00:00,-79.54741999999999,43.59366,Sphecodes,F,80-100,Alderwood,20
588,588,2018-08-31 00:00:00,-79.3524,43.65412,Halictus,M,60-80,Waterfront Communities-The Island,77
